id; naziv; gps_lat_1; gps_lon_1; gps_lat_2; gps_lon_2; najveći kućni broj
1; Pavlinska; 46.307936; 16.340756; 46.307906; 16.339424;9
2; Alojzija Stepinca; 46.307906; 16.339424; 46.306079; 16.340420;11
3; Petra Krešimira IV; 46.307936; 16.340756; 46.309958; 16.349242;51
4; Slavenska; 46.308587; 16.347162; 46.308345; 16.343008;24
5; Zrinskih i Frankopana; 46.305690; 16.334325; 46.296108; 16.337502;41
6; Miroslava Krleže; 46.298827; 16.340235; 46.296792; 16.327993;46
7; Jalkovečka; 46.302696; 16.333873; 46.289703; 16.322602;166
8; Frana Supila; 46.305532; 16.346116; 46.298827; 16.340235;50
9; Braće Radić; 46.306482; 16.333534; 46.292981; 16.307055;198
10; Optujska; 46.310746; 16.331994; 46.321381; 16.304194;106
11; Vladimira Gortana; 46.313208; 16.326739; 46.316045; 16.316191;64
12; Fabijanska; 46.315973; 16.323073; 46.319786; 16.323568;31
13; Eugena Kumičića; 46.314820; 16.327128; 46.321391; 16.335033;100
14; Ruđera Boškovića; 46.311489; 16.345491; 46.316779; 16.343985;18
15; Međimurska; 46.310924; 16.344467; 46.321544; 16.357610;33
16; Frankopanska; 46.253780; 16.614993; 46.257969; 16.598584;76
17; Petra Zrinskog; 46.253686; 16.615548; 46.248821; 16.616562;53
18; Ljudevita Gaja; 46.248810; 16.615917; 46.250834; 16.602758;80
19; Bana Jelačića; 46.248712; 16.616527; 46.246858; 16.620978;29
20; Varaždinska, 46.292112; 16.304619; 46.285628; 16.256375;209
21; Poljska; 46.287008; 16.278343; 46.291189; 16.277139;30
22; Braće Radić; 46.286206; 16.279685; 46.285056; 16.272357;29
23; Varaždinska; 46.326148; 16.289263; 46.335868; 16.258568;357
24; Matije Gupca; 46.333963; 16.267018; 46.328361; 16.262680;65
25; Zelendvorska; 46.333713; 16.257948; 46.328176; 16.272373;62
26; Zrinsko - Frankopanska; 46.390714; 16.432328; 46.381880; 16.402677;25
27; ZAVNOH-a; 46.391414; 16.433834; 46.396953; 16.448041;91
28; Mihovljanska; 46.391097; 16.443519; 46.400440; 16.451676;72
29; Bana Josipa Jelačića; 46.391097; 16.443519; 46.392677; 16.464572;173
30; Istarska; 46.391860; 16.446747; 46.394580; 16.444884;21
31; Vladimira Nazora; 46.387137; 16.434941; 46.384814; 16.426641;36
32; Tome Masaryka; 46.391022; 16.434467; 46.391077; 16.439905;28







